Item Number,Qty On Hand,Qty Backordered,Qty On Order,Item Next Availability Date,Item d (1),Item Description
DS-603,20,,,,0,Riviera Left Modular
DS-608,20,,,,0,Riviera Swivel Armchair + Cushion
DS-609,4,,,,0,"Riviera 60"" Daybed"
DS-610,1,,,,0,"Riviera 72"" Daybed"
DS-701,34,,,,0,Natsepa Center Modular Deep Seating
DS-702,12,,,,0,Natsepa Corner Modular Deep Seating
DS-703,14,,,,0,Natsepa Ottoman
DS-704,9,,,,0,Natsepa Rectangular Coffee Table
DS-705,26,,,,0,Natsepa Square Side Table
DS-801,2,,,,0,Capistrano Deep Seating Armchair
DS-802,14,,,,0,Capistrano Deep Seating Love Seat
DS-803,13,,,,0,Capistrano Deep Seating Sofa
DS-804,39,,,,0,Capistrano Deep Seating Ottoman
DS-805,13,,,,0,Capistrano Retangular Coffee Table
DS-806,17,,,,0,Capistrano Side Table
DS-821,3,,,,0,Oxford Platform 1-Seater
DS-822,15,,,,0,Oxford Platform 2-Seater
DS-823,6,,,,0,Oxford Platform Square Table
DS-824,7,,,,0,Oxford Platform Corner Table
DS-831,29,,,,0,Cordoba 1-Seater Armchair
DS-833,5,,,,0,Cordoba 3-Seater Bench
DS-838,25,,,,0,Cordoba Deep Seating Swivel Armchair
FS-120,14,,,,0,Katana Foot Stool
GL-101,0,,,7/15/2022,0,Del Amo 4 Foot Glider
HT-024,1,,,,0,Adam Classic Serving Table
HT-101,1,,,,0,Neoclassical Demilune Console
HT-101C,0,,,7/30/2022,0,Neoclassical Demilune Console w/ Crackle Finish Table Top
LB-022,1,,,,0,Amberly Laundry Box
LS-024,9,,,,0,Lazy Susan No umbrella hole
PL-001,37,,,,0,Planter Box
PL-002,28,,,,0,Planter Box
PL-003,4,,,,0,Planter Box
PL-O4830,2,,,,0,Jerdienere Large Octagonal Planter
PL-R1620,0,,,7/30/2022,0,Amazon Round Planter
PL-R1685,0,,,,1,Athena Planter
PL-R1814C,1,,,,0,Cadiz Planter 
PL-R1818,3,,,,0,Aztec Round Medium Planter
PL-R1827,0,,,,1,Marcella Planter
PL-R1919,0,,,7/30/2022,0,Geneva  Round Planter
PL-R2424,1,,,,0,Aztec Round Large Planter
PL-R2724,0,,,7/30/2022,0,Pompeii Round Planter
PL-R3310,0,,,7/31/2022,0,Alpine Planter
PL-R4122,2,,,,0,Victoria Planter
PL-S1010,1,,,,0,Amalfi Square Planter
PL-S1209,2,,,,0,Verona Square Planter
PL-S2424,1,,,,0,Aztec Square Planter 
PL-S6161,1,,,,0,Palace Square Planter
PL-S8507,3,,,,0,Tiffany Planter
PL-V2311,0,,,7/30/2022,0,Milano Oval Planter
RC-2215,1,,,,0,Palm Beach Rocking Armchair
Set-1,0,,,7/31/2022,0,Katana 7 Pieces Outdoor Dining Set
Set-10,4,,,,0,Avalon Outdoor Bar Set
Set-101A,3,,,,0,Classic Dining Armchair 5 Pieces Outdoor Square Dining Set
Set-101B,2,,,,0,Classic Chair 5 Pieces Outdoor Square Dining Set
Set-102,2,,,,0,Chicago 5 Pieces Outdoor Square Dining Set
Set-103,0,,,6/30/2022,0,Brianna 5 Pieces Outdoor Square Dining Set
Set-104,2,,,,0,Classic Folding Chair 7 Pieces Outdoor Square Dining Set
Set-104B,2,,,,0,Classic Folding Chair 9 Pieces Outdoor Square Dining Set
Set-105A,1,,,,0,Comfort 7 Pieces Outdoor Square Dining Set
Set-105B,3,,,,0,Comfort 5 Pieces Outdoor Square Dining Set
Set-106A,2,,,,0,Rialto Side Chair 7 Pieces Outdoor Square Dining Set
Set-106B,4,,,,0,Rialto Side Chair 5 Pieces Outdoor Square Dining Set
Set-106C,1,,,,0,Rialto Dining Armchair 5 Pieces Outdoor Square Dining Set
Set-107,2,,,,0,Classic Folding Chair 5 Pieces Round Folding Dining Set
Set-108A,2,,,,0,Classic Folding Chair 3 Pieces Round Folding Bistro Set
Set-108B,2,,,,0,Classic Folding Chair 5 Pieces Round Folding Bistro Set
Set-109,1,,,,0,Andrew 5 Pieces OutdoorRound Folding Dining Set
Set-11,2,,,,0,Bahama Chicago 5 Pieces Square Bistro Set
Set-112A,0,,,5/31/2022,0,Wilshire 9 Pieces Outdoor Rectangular Extension Dining Set
Set-112B,0,,,5/31/2022,0,Wilshire 7 Pieces Outdoor Rectangular Extension Dining Set
Set-113A,6,,,,0,Montego 3 Pieces Outdoor Pub Set
Set-113B,3,,,,0,Montego 5 Pieces Outdoor Pub Set
Set-114,2,,,,0,Brianna 6 Pieces Conversation Set
Set-115,2,,,,0,Brianna 5 Pieces Conversation Set
TEST-SET-117,2,,,6/30/2022,0,Brianna 5 Pieces Outdoor Square Bistro Set
Set-118,4,,,,0,Classic 5 Pieces Conversation Set
Set-119A,0,,,6/30/2022,0,Brianna 7 Pieces Outdoor Oval Extension  Dining Set
Set-119B,0,,,6/30/2022,0,Brianna 5 Pieces Outdoor Oval Extension  Dining Set
Set-12,0,,,6/30/2022,0,Chicago 4 Pieces Oval Extension Dining Set
Set-120,1,,,,0,Montego 9 Pieces Outdoor Pub Set
Set-121,1,,,,0,Avalon 9 Pieces Outdoor Pub Set
Set-129,0,,,5/31/2022,0,Montage Windham Bistro Set
Set-13,4,,,,0,Andrew 3 Pieces Round Bistro Set
Set-130,1,,,,0,Descanso Windham Bistro Set
Set-130,1,,,,0,Descanso Windham Bistro Set
Set-134,2,,,,0,Katana 3 Pieces Outdoor Steamer Set
Set-136,2,,,,0,Natsepa 8-Pieces Modular Set
Set-137,2,,,,0,Natsepa 10-Pieces Modular Set
Set-138,2,,,,0,Natsepa 11-Pieces Modular Set
Set-139,2,,,,0,Natsepa 9-Pieces Modular Set
Set-14,0,,,6/30/2022,0,Chicago 7 Pieces Outdoor Rectangular Extension Dining Set
Set-140,2,,,,0,Natsepa 9-Pieces Modular Set
Set-141,2,,,,0,Capistrano 5-Piece Deep Seating Loveseat Collection
Set-142,2,,,,0,Capistrano 5-Piece Deep Seating Sofa Collection
Set-143,2,,,,0,Capistrano 2-Piece Deep Seating Collection
Set-146,0,,,7/31/2022,0,7-Pieces Sonoma Rectangular Dining Set
Set-15,1,,,,0,Rialto 11-Pieces Rectangular Extension Dining Set
Set-151,2,,,,0,Copacabana 5 pieces Modular Deep Seating Set
Set-152,2,,,,0,Copacabana 5 pieces Modular Deep Seating Set
Set-153,2,,,,0,Copacabana 7 pieces Modular Deep Seating Set
Set-154,3,,,,0,Copacabana 5 pieces Modular Deep Seating Set
Set-16,1,,,,0,Wilshire 5 Pieces Outdoor Round Dining Set
Set-160,6,,,,0,Cordoba 4-pieces sets
SET-161,6,,,,0,Cordoba Deep Seating 4-Piece Swivel Set
SET-162,4,,,,0,Cordoba Deep Seating 5-Piece Swivel Set
Set-17,2,,,,0,Rialto 5 Pieces Outdoor Round Dining Set
Set-171,2,,,,0,Coronado 6 Pieces Deep Seatng Set
Set-172,2,,,,0,Coronado 5 Pieces Deep Seatng Set
Set-173,0,,,6/30/2022,0,Coronado 5 Pieces Deep Seatng Set
Set-174,0,,,6/30/2022,0,Coronado 6 Pieces Deep Seatng Set
Set-18,3,,,,0,Classic 3 Pieces Folding Outdoor Dining Set
Set-19,2,,,,0,Bahama Rialto 3 Pieces Outdoor Set
Set-2,2,,,,0,Sahara 5-Pieces Square Dining Set
Set-20,3,,,,0,Altavista Outdoor Bar Set
Set-200,2,,,,0,Montage Madison Collection  
Set-201,2,,,,0,Montage Saratoga Collection
Set-202,1,,,,0,Montage Bristol Collection
Set-203,2,,,,0,Montage Windham Collection
Set-204,2,,,,0,Montage Chester Collection
Set-206,2,,,,0,Montage Windham Collection
Set-207,1,,,,0,Montage Victoria Collection
Set-208,1,,,,0,Descanso Bristol Bistro Set
Set-209,0,,,5/31/2022,0,Montage Bristol Bistro Set
Set-211,1,,,5/31/2022,0,Montage Saratoga Bistro Set
Set-212,1,,,,0,Alabama 5-Pieces Dining Set
Set-213,1,,,,0,Braxton 5-Pieces Dining Set
Set-214,2,,,,0,Braxton 5-Pieces Dining Set
Set-22,2,,,,0,Windsor 3 Pieces Square Outdoor Bistro Set
SET-225,4,,,,0,Chester Alabama Bistro Set A
SET-226,3,,,,0,Chester Alabama Bistro set B
SET-227,1,,,,0,Descanso Alabama Bistro Set
SET-228,1,,,5/31/2022,0,Montage Alabama Bistro Set
SET-229,1,,,5/31/2022,0,Montage Braxton Bistro Set
Set-23,2,,,,0,Windsor 3 Pieces Folding Outdoor Bistro Set
Set-230,1,,,,0,Victoria Montage Coffee Table Collection
Set-235,1,,,,0,Rockford 7-Pieces Dining Set
Set-24,2,,,,0,Windsor 5 Pieces Folding Outdoor Bistro Set
Set-25,2,,,,0,Classic 5 Pieces Square Outdoor Dining Set
Set-251,2,,,,0,SouthBay Deep Seating Collection
Set-252,2,,,,0,SouthBay Deep Seating Collection
Set-253,2,,,,0,SouthBay Deep Seating Collection
Set-254,0,,,6/30/2022,0,SouthBay Deep Seating Collection
Set-255,2,,,,0,South Bay 4 Piece Deep Seating Group
Set-256,2,,,,0,South Bay 3 Piece Deep Seating Group
TESTSET-257,2,,,,0,SouthBay Deep Seating Collection
Set-26,1,,,,0,Wilshire 7 Pieces Outdoor Oval Extension Dining Set
Set-27,4,,,,0,Classic 5 Pieces Outdoor Round Dining Set
Set-270,1,,,,0,Palm Beach Rocking Armchair Collection
Set-275,3,,,,0,Tropicana Montage Set
Set-276,0,,,6/30/2022,0,South Bay Glenmore Set
Set-28,1,,,,0,Classic 5 Pieces Folding Outdoor Dining Set
Set-29,0,,,6/30/2022,0,Chicago 7 Pieces Outdoor Oval Extension Dining Set
Set-290,0,,,6/30/2022,0,Descanso Sedona Bar Set
Set-3,1,,,,0,Curve 5 Pieces Outdoor Dining Set
Set-30,1,,,,0,Andrew 9 Pieces Outdoor Oval Extension Dining Set
Set-3025,2,,,,0,Amalfi Relax3-Piece Deep Seating Collection
Set-31,3,,,,0,Hampton 3 Pieces Outdoor Rectangular Dining Set
Set-32,2,,,,0,Classic Valencia 15 Pieces Outdoor Dining Set
Set-32A,2,,,,0,Classic Valencia 13 Pieces Outdoor Dining Set
Set-32B,2,,,,0,Classic Valencia 11 Pieces Outdoor Dining Set
Set-33,2,,,,0,Rialto Valencia 15 Pieces Outdoor Dining Set
Set-33A,2,,,,0,Rialto Valencia 13 Pieces Outdoor Dining Set
Set-34,2,,,,0,Comfort 5 Pieces Butterfly Folding Outdoor Dining Set
Set-35,1,,,,0,Andrew 5 Pieces Butterfly Folding Outdoor Dining Set
Set-4,7,,,,0,Del Amo 3 Pieces Rocking Chair Set
Set-41,2,,,,0,Brianna 5 Pieces Conversation Set
Set-42,2,,,,0,Brianna 5 Pieces Conversation Set
Set-43,1,,,,0,Brianna 6 Pieces Conversation Set
Set-44,2,,,,0,Classic 5 Pieces Conversation Set
Set-45,1,,,,0,Marlborough 4 Pieces Conversation Set
Set-46,0,,,7/31/2022,0,Katana 4 Pieces Outdoor Bistro Set
Set-47,7,,,,0,Del Amo 3 Pieces Outdoor Rocking Chair Set
Set-48,1,,,,0,Bel-Air Double Sun Outdoor Chaise Lounge
Set-5,0,,,7/31/2022,0,Curve 4 Pieces Conversation Set
Set-5001,0,,,8/30/2022,0,Lucca 5-pieces set
Set-5002,0,,,8/30/2022,0,Lucca 7-pieces set
Set-5003,0,,,8/30/2022,0,Lucca 13-pieces set
Set-5004,0,,,8/30/2022,0,Lucca sun lounger 7-pieces set
Set-5005,2,,,,0,Lucca sun lounger 3-pieces set
Set-5020,2,,,,0,Monza 3-pieces sets
Set-5030,1,,,,0,Seville 5- Pieces Rectangular Dining Set
Set-5031,0,,,8/30/2022,0,Seville 5-Pieces Square Dining Set
SET-5040,1,,,,0,Oxford Deep Seating 6-pieces Set
Set-51,1,,,,0,Bahama Wilshire 3 Pieces Outdoor Set
Set-53,1,,,,0,Bahama 3 Pieces Outdoor Steamer Set
Set-6,1,,,,0,Classic 4 Pieces Conversation Set
Set-61,1,,,,0,Wilshire Armchair 5 Pieces Outdoor Square Dining Set
Set-62,2,,,,0,Classic 5 Pieces Small Slats Square Outdoor Dining Set
Set-65,1,,,,0,Riviera 9-Pieces Modular Set
Set-66,2,,,,0,Luxe 5 Pieces Modular Set
Set-67,2,,,,0,Luxe 6 Pieces Modular Set
Set-69,1,,,,0,Riviera 6-Pieces Modular Set
Set-7,0,,,6/30/2022,0,Chicago 7 Pieces Oval Extension Dining Set
Set-70,4,,,,0,Luxe 2-Pieces Modular Set
Set-71,2,,,,0,Luxe 5 Pieces Modular Set
